location;time_of_measurement;counted_pedestrians;type;incidents
Münsterplatz , Ulm;2019-10-01 13:49:00 +0200;134;regular;""
Münsterplatz , Ulm;2019-10-01 13:54:00 +0200;122;regular;""
Münsterplatz , Ulm;2019-10-01 13:58:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-01 13:59:00 +0200;100;regular;""
Münsterplatz , Ulm;2019-10-01 14:04:00 +0200;116;regular;""
Münsterplatz , Ulm;2019-10-01 14:08:00 +0200;4;regular;""
Münsterplatz , Ulm;2019-10-01 14:09:00 +0200;99;regular;""
Münsterplatz , Ulm;2019-10-01 14:14:00 +0200;118;regular;""
Münsterplatz , Ulm;2019-10-01 14:19:00 +0200;101;regular;""
Münsterplatz , Ulm;2019-10-01 14:24:00 +0200;114;regular;""
Münsterplatz , Ulm;2019-10-01 14:29:00 +0200;126;regular;""
Münsterplatz , Ulm;2019-10-01 14:33:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-01 14:34:00 +0200;81;regular;""
Münsterplatz , Ulm;2019-10-01 14:37:00 +0200;5;regular;""
Münsterplatz , Ulm;2019-10-01 14:39:00 +0200;94;regular;""
Münsterplatz , Ulm;2019-10-01 14:42:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-01 14:44:00 +0200;110;regular;""
Münsterplatz , Ulm;2019-10-01 14:45:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-01 14:49:00 +0200;105;regular;""
Münsterplatz , Ulm;2019-10-01 14:54:00 +0200;128;regular;""
Münsterplatz , Ulm;2019-10-01 14:59:00 +0200;105;regular;""
Münsterplatz , Ulm;2019-10-01 15:04:00 +0200;103;regular;""
Münsterplatz , Ulm;2019-10-01 15:08:00 +0200;7;regular;""
Münsterplatz , Ulm;2019-10-01 15:09:00 +0200;132;regular;""
Münsterplatz , Ulm;2019-10-01 15:13:00 +0200;5;regular;""
Münsterplatz , Ulm;2019-10-01 15:14:00 +0200;97;regular;""
Münsterplatz , Ulm;2019-10-01 15:19:00 +0200;126;regular;""
Münsterplatz , Ulm;2019-10-01 15:24:00 +0200;117;regular;""
Münsterplatz , Ulm;2019-10-01 15:29:00 +0200;111;regular;""
Münsterplatz , Ulm;2019-10-01 15:34:00 +0200;135;regular;""
Münsterplatz , Ulm;2019-10-01 15:38:00 +0200;4;regular;""
Münsterplatz , Ulm;2019-10-01 15:39:00 +0200;87;regular;""
Münsterplatz , Ulm;2019-10-01 15:44:00 +0200;129;regular;""
Münsterplatz , Ulm;2019-10-01 15:49:00 +0200;148;regular;""
Münsterplatz , Ulm;2019-10-01 15:54:00 +0200;145;regular;""
Münsterplatz , Ulm;2019-10-01 15:58:00 +0200;3;regular;""
Münsterplatz , Ulm;2019-10-01 15:59:00 +0200;102;regular;""
Münsterplatz , Ulm;2019-10-01 16:02:00 +0200;5;regular;""
Münsterplatz , Ulm;2019-10-01 16:04:00 +0200;69;regular;""
Münsterplatz , Ulm;2019-10-01 16:09:00 +0200;110;regular;""
Münsterplatz , Ulm;2019-10-01 16:14:00 +0200;129;regular;""
Münsterplatz , Ulm;2019-10-01 16:19:00 +0200;126;regular;""
Münsterplatz , Ulm;2019-10-01 16:22:00 +0200;6;regular;""
Münsterplatz , Ulm;2019-10-01 16:24:00 +0200;164;regular;""
Münsterplatz , Ulm;2019-10-01 16:28:00 +0200;3;regular;""
Münsterplatz , Ulm;2019-10-01 16:29:00 +0200;137;regular;""
Münsterplatz , Ulm;2019-10-01 16:34:00 +0200;112;regular;""
Münsterplatz , Ulm;2019-10-01 16:37:00 +0200;5;regular;""
Münsterplatz , Ulm;2019-10-01 16:39:00 +0200;109;regular;""
Münsterplatz , Ulm;2019-10-01 16:43:00 +0200;4;regular;""
Münsterplatz , Ulm;2019-10-01 16:44:00 +0200;135;regular;""
Münsterplatz , Ulm;2019-10-01 16:47:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-01 16:49:00 +0200;110;regular;""
Münsterplatz , Ulm;2019-10-01 16:52:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-01 16:54:00 +0200;117;regular;""
Münsterplatz , Ulm;2019-10-01 16:58:00 +0200;5;regular;""
Münsterplatz , Ulm;2019-10-01 16:59:00 +0200;137;regular;""
Münsterplatz , Ulm;2019-10-01 17:04:00 +0200;160;regular;""
Münsterplatz , Ulm;2019-10-01 17:07:00 +0200;4;regular;""
Münsterplatz , Ulm;2019-10-01 17:09:00 +0200;128;regular;""
Münsterplatz , Ulm;2019-10-01 17:14:00 +0200;155;regular;""
Münsterplatz , Ulm;2019-10-01 17:17:00 +0200;6;regular;""
Münsterplatz , Ulm;2019-10-01 17:19:00 +0200;128;regular;""
Münsterplatz , Ulm;2019-10-01 17:22:00 +0200;3;regular;""
Münsterplatz , Ulm;2019-10-01 17:24:00 +0200;125;regular;""
Münsterplatz , Ulm;2019-10-01 17:29:00 +0200;160;regular;""
Münsterplatz , Ulm;2019-10-01 17:32:00 +0200;7;regular;""
Münsterplatz , Ulm;2019-10-01 17:34:00 +0200;133;regular;""
Münsterplatz , Ulm;2019-10-01 17:39:00 +0200;122;regular;""
Münsterplatz , Ulm;2019-10-01 17:44:00 +0200;127;regular;""
Münsterplatz , Ulm;2019-10-01 17:47:00 +0200;4;regular;""
Münsterplatz , Ulm;2019-10-01 17:49:00 +0200;124;regular;""
Münsterplatz , Ulm;2019-10-01 17:54:00 +0200;120;regular;""
Münsterplatz , Ulm;2019-10-01 17:58:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-01 17:59:00 +0200;78;regular;""
Münsterplatz , Ulm;2019-10-01 18:04:00 +0200;96;regular;""
Münsterplatz , Ulm;2019-10-01 18:09:00 +0200;68;regular;""
Münsterplatz , Ulm;2019-10-01 18:13:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-01 18:14:00 +0200;97;regular;""
Münsterplatz , Ulm;2019-10-01 18:18:00 +0200;3;regular;""
Münsterplatz , Ulm;2019-10-01 18:19:00 +0200;101;regular;""
Münsterplatz , Ulm;2019-10-01 18:24:00 +0200;94;regular;""
Münsterplatz , Ulm;2019-10-01 18:29:00 +0200;82;regular;""
Münsterplatz , Ulm;2019-10-01 18:34:00 +0200;114;regular;""
Münsterplatz , Ulm;2019-10-01 18:37:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-01 18:39:00 +0200;72;regular;""
Münsterplatz , Ulm;2019-10-01 18:44:00 +0200;73;regular;""
Münsterplatz , Ulm;2019-10-01 18:46:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-01 18:49:00 +0200;63;regular;""
Münsterplatz , Ulm;2019-10-01 18:50:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-01 18:54:00 +0200;48;regular;""
Münsterplatz , Ulm;2019-10-01 18:59:00 +0200;72;regular;""
Münsterplatz , Ulm;2019-10-01 19:03:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-01 19:04:00 +0200;77;regular;""
Münsterplatz , Ulm;2019-10-01 19:07:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-01 19:09:00 +0200;73;regular;""
Münsterplatz , Ulm;2019-10-01 19:11:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-01 19:14:00 +0200;72;regular;""
Münsterplatz , Ulm;2019-10-01 19:19:00 +0200;77;regular;""
Münsterplatz , Ulm;2019-10-01 19:22:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-01 19:24:00 +0200;83;regular;""
Münsterplatz , Ulm;2019-10-01 19:29:00 +0200;61;regular;""
Münsterplatz , Ulm;2019-10-01 19:34:00 +0200;72;regular;""
Münsterplatz , Ulm;2019-10-01 19:39:00 +0200;75;regular;""
Münsterplatz , Ulm;2019-10-01 19:44:00 +0200;72;regular;""
Münsterplatz , Ulm;2019-10-01 19:48:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-01 19:49:00 +0200;64;regular;""
Münsterplatz , Ulm;2019-10-01 19:50:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-01 19:54:00 +0200;74;regular;""
Münsterplatz , Ulm;2019-10-01 19:59:00 +0200;49;regular;""
Münsterplatz , Ulm;2019-10-01 20:04:00 +0200;52;regular;""
Münsterplatz , Ulm;2019-10-01 20:09:00 +0200;30;regular;""
Münsterplatz , Ulm;2019-10-01 20:14:00 +0200;35;regular;""
Münsterplatz , Ulm;2019-10-01 20:15:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-01 20:18:00 +0200;22;regular;""
Münsterplatz , Ulm;2019-10-01 20:22:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-01 20:24:00 +0200;15;regular;""
Münsterplatz , Ulm;2019-10-01 20:29:00 +0200;26;regular;""
Münsterplatz , Ulm;2019-10-01 20:34:00 +0200;22;regular;""
Münsterplatz , Ulm;2019-10-01 20:39:00 +0200;37;regular;""
Münsterplatz , Ulm;2019-10-01 20:44:00 +0200;23;regular;""
Münsterplatz , Ulm;2019-10-01 20:47:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-01 20:48:00 +0200;23;regular;""
Münsterplatz , Ulm;2019-10-01 20:54:00 +0200;16;regular;""
Münsterplatz , Ulm;2019-10-01 20:58:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-01 20:59:00 +0200;22;regular;""
Münsterplatz , Ulm;2019-10-01 21:04:00 +0200;15;regular;""
Münsterplatz , Ulm;2019-10-01 21:09:00 +0200;10;regular;""
Münsterplatz , Ulm;2019-10-01 21:14:00 +0200;26;regular;""
Münsterplatz , Ulm;2019-10-01 21:19:00 +0200;13;regular;""
Münsterplatz , Ulm;2019-10-01 21:24:00 +0200;19;regular;""
Münsterplatz , Ulm;2019-10-01 21:29:00 +0200;9;regular;""
Münsterplatz , Ulm;2019-10-01 21:34:00 +0200;18;regular;""
Münsterplatz , Ulm;2019-10-01 21:39:00 +0200;14;regular;""
Münsterplatz , Ulm;2019-10-01 21:44:00 +0200;13;regular;""
Münsterplatz , Ulm;2019-10-01 21:49:00 +0200;19;regular;""
Münsterplatz , Ulm;2019-10-01 21:52:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-01 21:54:00 +0200;41;regular;""
Münsterplatz , Ulm;2019-10-01 21:56:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-01 21:59:00 +0200;20;regular;""
Münsterplatz , Ulm;2019-10-01 22:04:00 +0200;18;regular;""
Münsterplatz , Ulm;2019-10-01 22:09:00 +0200;15;regular;""
Münsterplatz , Ulm;2019-10-01 22:14:00 +0200;11;regular;""
Münsterplatz , Ulm;2019-10-01 22:19:00 +0200;6;regular;""
Münsterplatz , Ulm;2019-10-01 22:21:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-01 22:24:00 +0200;12;regular;""
Münsterplatz , Ulm;2019-10-01 22:29:00 +0200;8;regular;""
Münsterplatz , Ulm;2019-10-01 22:34:00 +0200;7;regular;""
Münsterplatz , Ulm;2019-10-01 22:39:00 +0200;9;regular;""
Münsterplatz , Ulm;2019-10-01 22:44:00 +0200;6;regular;""
Münsterplatz , Ulm;2019-10-01 22:49:00 +0200;7;regular;""
Münsterplatz , Ulm;2019-10-01 22:54:00 +0200;3;regular;""
