1992;Juli;68,8
1992;August;68,8
1992;September;68,8
1992;Oktober;68,8
1992;November;69,2
1992;Dezember;69,3
1993;Januar;69,9
1993;Februar;70,3
1993;März;70,6
1993;April;70,7
1993;Mai;70,8
1993;Juni;71,1
1993;Juli;71,4
1993;August;71,4
1993;September;71,1
1993;Oktober;71,1
1993;November;71,3
1993;Dezember;71,5
1994;Januar;71,7
1994;Februar;72,2
1994;März;72,3
1994;April;72,3
1994;Mai;72,6
1994;Juni;72,8
1994;Juli;72,9
1994;August;73,0
1994;September;72,9
1994;Oktober;72,8
1994;November;72,9
1994;Dezember;73,1
1995;Januar;73,2
1995;Februar;73,6
1995;März;73,7
1995;April;73,9
1995;Mai;73,9
1995;Juni;74,1
1995;Juli;74,2
1995;August;74,1
1995;September;74,1
1995;Oktober;74,0
1995;November;73,9
1995;Dezember;74,1
1996;Januar;74,2
1996;Februar;74,6
1996;März;74,7
1996;April;74,7
1996;Mai;74,8
1996;Juni;74,9
1996;Juli;75,1
1996;August;75,0
1996;September;75,0
1996;Oktober;75,0
1996;November;75,0
1996;Dezember;75,2
1997;Januar;75,6
1997;Februar;75,8
1997;März;75,7
1997;April;75,6
1997;Mai;75,9
1997;Juni;76,0
1997;Juli;76,6
1997;August;76,7
1997;September;76,5
1997;Oktober;76,5
1997;November;76,6
1997;Dezember;76,8
1998;Januar;76,8
1998;Februar;76,9
1998;März;76,8
1998;April;76,9
1998;Mai;77,1
1998;Juni;77,1
1998;Juli;77,3
1998;August;77,2
1998;September;77,1
1998;Oktober;76,9
1998;November;76,9
1998;Dezember;76,9
1999;Januar;76,9
1999;Februar;77,0
1999;März;77,1
1999;April;77,3
1999;Mai;77,3
1999;Juni;77,5
1999;Juli;77,9
1999;August;77,9
1999;September;77,6
1999;Oktober;77,4
1999;November;77,6
1999;Dezember;77,9
2000;Januar;78,2
2000;Februar;78,3
2000;März;78,3
2000;April;78,3
2000;Mai;78,2
2000;Juni;78,5
2000;Juli;78,9
2000;August;78,7
