location;time_of_measurement;counted_pedestrians;type;incidents
Münsterplatz , Ulm;2020-03-02 09:39:53 +0100;60;regular;""
Münsterplatz , Ulm;2020-03-02 09:44:59 +0100;53;regular;""
Münsterplatz , Ulm;2020-03-02 09:49:59 +0100;46;regular;""
Münsterplatz , Ulm;2020-03-02 09:52:25 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-02 09:54:57 +0100;98;regular;""
Münsterplatz , Ulm;2020-03-02 09:59:18 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-02 09:59:52 +0100;53;regular;""
Münsterplatz , Ulm;2020-03-02 10:04:17 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-02 10:04:59 +0100;59;regular;""
Münsterplatz , Ulm;2020-03-02 10:08:18 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-02 10:09:59 +0100;72;regular;""
Münsterplatz , Ulm;2020-03-02 10:14:54 +0100;63;regular;""
Münsterplatz , Ulm;2020-03-02 10:17:50 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 10:19:45 +0100;54;regular;""
Münsterplatz , Ulm;2020-03-02 10:24:20 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-02 10:24:53 +0100;58;regular;""
Münsterplatz , Ulm;2020-03-02 10:29:43 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 10:29:56 +0100;71;regular;""
Münsterplatz , Ulm;2020-03-02 10:33:59 +0100;6;regular;""
Münsterplatz , Ulm;2020-03-02 10:34:59 +0100;64;regular;""
Münsterplatz , Ulm;2020-03-02 10:37:37 +0100;6;regular;""
Münsterplatz , Ulm;2020-03-02 10:39:45 +0100;88;regular;""
Münsterplatz , Ulm;2020-03-02 10:43:46 +0100;6;regular;""
Münsterplatz , Ulm;2020-03-02 10:44:59 +0100;77;regular;""
Münsterplatz , Ulm;2020-03-02 10:45:50 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 10:49:57 +0100;74;regular;""
Münsterplatz , Ulm;2020-03-02 10:54:30 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 10:54:56 +0100;72;regular;""
Münsterplatz , Ulm;2020-03-02 10:59:59 +0100;80;regular;""
Münsterplatz , Ulm;2020-03-02 11:03:40 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 11:04:52 +0100;66;regular;""
Münsterplatz , Ulm;2020-03-02 11:09:59 +0100;69;regular;""
Münsterplatz , Ulm;2020-03-02 11:11:36 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 11:14:59 +0100;79;regular;""
Münsterplatz , Ulm;2020-03-02 11:18:08 +0100;7;regular;""
Münsterplatz , Ulm;2020-03-02 11:19:55 +0100;106;regular;""
Münsterplatz , Ulm;2020-03-02 11:22:00 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 11:24:53 +0100;99;regular;""
Münsterplatz , Ulm;2020-03-02 11:28:34 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 11:29:53 +0100;88;regular;""
Münsterplatz , Ulm;2020-03-02 11:32:58 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 11:34:59 +0100;77;regular;""
Münsterplatz , Ulm;2020-03-02 11:39:59 +0100;112;regular;""
Münsterplatz , Ulm;2020-03-02 11:39:59 +0100;9;regular;""
Münsterplatz , Ulm;2020-03-02 11:43:32 +0100;7;regular;""
Münsterplatz , Ulm;2020-03-02 11:44:59 +0100;108;regular;""
Münsterplatz , Ulm;2020-03-02 11:47:18 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 11:49:59 +0100;88;regular;""
Münsterplatz , Ulm;2020-03-02 11:54:14 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-02 11:54:59 +0100;90;regular;""
Münsterplatz , Ulm;2020-03-02 11:56:58 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 11:59:59 +0100;83;regular;""
Münsterplatz , Ulm;2020-03-02 12:02:17 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 12:04:57 +0100;93;regular;""
Münsterplatz , Ulm;2020-03-02 12:09:30 +0100;6;regular;""
Münsterplatz , Ulm;2020-03-02 12:09:56 +0100;117;regular;""
Münsterplatz , Ulm;2020-03-02 12:13:35 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 12:14:55 +0100;109;regular;""
